reviews;;
"[%swwR%] targetnya akhirnya tercapai walaupun hanya loncatan semata. 
[%tvwk%]
Price action hari ini tekanan seller cukup besar dan ada pada area moving average 200nya.  jika tekanan ini berlanjut hingga jumat ini berpotensi membentuk candle reversal. Target penurunan yang aman untuk tahan jangka waktu menengah bila tidak turun dibawah 228-230. 
untuk jangka panjang bisa jadi akan terkonsolidasi terlebih dahulu sebelum melanjutkan kenaikan lebih tinggi. bila LK q2 ada perbaikan dan sentimennya bagus. 
Jika sentimen kurang baik dan LK q2 akankah kurang menarik. potensi ada 1 kali tarikan lagi membentuk lower low. sementara stay away terlebih dahulu. 
[%ZYrk%] [%lCnN%] [%ryTj%] [%gGzc%]";;
"🛑 Analisis [%TdsA%] (Pasific Strategic Financial)
APIC hari ini berhasil menunjukkan kenaikkan dan berhasil breakout dari resistance pattern cup and handlenya. Selain itu, dengan volume yang besar APIC juga berhasil menembus MA 200-nya sehingga memiliki support yang kuat dan berpotensi untuk naik lebih tinggi lagi.
[%JvRp%]
[%DdZV%] [%WXIc%] [%sPnz%] [%APVr%]";;
"Breaking News :
Indeks CPI USA berhasil turun dari sebelumnya 9,1% menjadi 8,5% artinya inflasi sudah mulai bisa dikendalikan.
[%Kkvo%] [%eyFd%] [%UlRH%] [%RAMW%] [%UQVe%]";;
Inflasi US Juli lbh rendah dr Juni. Seketika dxy anjlok &amp; dji futures hejo2. Siap2 [%euHo%] &amp; bursa asia besok tudemuuun. [%XoWG%] [%tqSF%] [%deqg%] [%gdQh%]
"Inflasi Amerika akhirnya Mulai ada penurunan efek Kenaikan Suku Bunga FED. Saham dan Komoditas Global seperti Emas naik signifikan
Hal yang patut diwaspadai adalah The FED sepertinya masih tetap Hawkish terhadap Kebijakan Suku Bunga FED. Tujuan utama FED adalah komitmen untuk menurunkan Inflasi AS hingga dibawah atau stabil di 2%
[%ApQD%] [%KEcK%] [%YDWS%] [%QdMF%] [%BAfE%]";;
"[%Ctst%] [%slZQ%] [%VbPX%] [%nAHL%] [%VIos%]
[%YBBQ%]";;
"Untung naruh dana di Stockbit cuma 5jtan , kecil banget sih, tapi kesel juga pas jam bursa maintenance, untung gak jadi pindahin dana besar kesini 
IPOT tetep juara di hati saya untuk sahabat investasi 
tag random [%FCBU%] [%yvQg%] [%vOzZ%] [%heoV%] [%LZLc%]";;
jangan sampe bro... [%gDlA%] valuasi kaya gitu mending [%hgty%] masi murah, enak swing nya lebar lebar, [%KwsK%] dengan valuasi kaya gitu mana bisa kasi swing lebar kaya BBRI;;
"Sudah diberi kejelasan dan diberi kompensasi...
[%zpBp%] [%wfgC%] [%bblR%] [%tOQv%] [%KMGi%]";;
Ada yang paham tentang ini? Ini screenshot Running Trade terakhir hari ini, [%JkFX%] highest dan closing di 7900 tapi kok sepertinya ada transaksi di 7925, ada yang bisa tolong jelaskan?;;
[%lpdk%] bisa tuker [%urQt%], mantap itu bro 🤑🤑🤑;;
[%lWoq%] pas clossing di tarik ke 7900 lagi ya ternyataaa mantabbb josss;;
"sekedar informasi supaya tidak terlalu panas kondisinya  😂
[%PgqY%] [%EuKy%] [%wEOY%] [%KFsq%] [%mjNd%]";;
"trading balance ku kok jd 4jt ya...pdhl td 2jt 🤔 
random tag : [%IEhQ%] [%uShx%] [%Gmpv%]";;
[%tpon%] ada udang d balik batu, ga bisa beli bbca harga bawah, besok apakah naik tinggi bbca ya?;;
[%kSGy%] epick comeback.... yg beli pas minus 150 tadi sekarang uda di 7900.. memang bbca keren.. 😀😀;;
"hanya perkiraan bukan perhitungan tolong bijak lah kalian dalam membaca....Apabila IHSG melemah maka Komoditas minyak menguat...Apabila IHSG menguat maka komoditas blue chip menguat..apakah blue chip dengan minyak sudah menjadi musuh alami?!Ntahlah mungkin hanya bandarlah yang mengetahui
[%Qjtk%] [%WDsk%] [%mVoo%] [%pdzh%] [%Phxx%]";;
"yuhuuuu
sebagai penganut aliran baru... minusmaulagi... wahahahha...ayo ayo ayoo ayoo minusss.. la la la.. ayoo ayoo ayoo
[%tiam%]
[%LocW%]
[%BWRE%]
[%ZFix%]
[%XGfw%]";;
Gegara SB ngadat, kehilangan momentum nambah muatan di [%RNPe%], Untung bisa ambil TP di [%XaHQ%] 😑;;
[%qhFV%] bener banyak yg nungguin ARB buat jangka panjang. Lah ini saham lom sempet nimbul dah tenggelem 2x mo buat jangka panjang apanya 🤦🏼;;
[%lCER%] kapan BRI bisa kaya [%oaJV%];;
"HAPPY CUAN SEMUA
[%JpGq%] [%GlaS%] [%OcZI%] [%jtgb%] [%IMxn%]";;
[%xQzY%] gagal dapet harga bawah;;
"dari kemarin WD tapi ko belom masuk juga ya ke rekening
bagaimana ini kawanw ada solusi
[%PmsU%] [%rupx%] [%MvXD%] [%Amqx%] [%eorE%]";;
"[%oRbF%] [%OcPb%] [%bCiE%] [%gtOQ%] 
katanya broker fee free mana?";;
"[%AHml%] [%utCY%] [%HSrV%] [%Nqrh%] [%cBCh%] 
Bintang 1 di app store !";;
[%yykf%] [%DnMO%] [%YEWh%] [%ugNj%] [%DykG%] stockbit ancur sistem nya diserang hacker;;
"Ngakunya inpostor turun dikit panik 🤣 Teknik bandar GG si buang barang biar harga turun usir ritel . Ritel panik jual barang murah sampai ada yg CT . Bahkan ada ritel yang tebar fear jual2 harga mie bakal naik 3x lipat padahal pengen dpt harga bawah …
Asing dengan santai Accumulasi harga murah beli trus tanpa ragu . ( dpt disimpulkan penjualan naik tpi net income turun dikit )
Ntr udh terbang yg tadi tebar fear malah berubah haluan . Mie makanan sejuta umat . Mw naik 3x lipat penjualan sama laba bersih tetap kinclong selama perusahaan bagus apalagi inovasi tanpa henti . sekelas Indofood siapa si yg gk kenal 🤭🤭 ayo dong tebar lagi biar gw bisa serok bawah . Kapan lagi kan TP sama asing 🤭🤭
[%RxCP%]
[%SjuV%]
[%OCZu%]
[%qOlw%]
[%oOms%]";;
"Kalau saia kasi saran, kalian pindah aja ke sekuritas perbankan [%gDvY%] [%IIKP%] [%ZDBc%]. Stokbit, Ajaib, dan sekuritas itil2 itu sistemnya rawan kena hack.
Uang kalian hilang blum tentu dijamin negara. Kalopun ada, mesti lapor bolak balik pengadilan. Blum tentu menang juga, krn mrk punya pengacara kelas kakap.";;
"Porto Merah semua..  👉👌💦💦😂😂😂🤣🤣🤣🤣🤣🤣🥳🥳🥳🥳🥳🤣🤣🤣🤣🤣🤣
Gangguan jiwa 
[%bZIH%] [%wAUE%] [%AhuN%] [%kWiL%]";;
"titik terang 🗿
[%KhdS%] [%apxT%] [%pACT%] [%uWyO%] [%BmoT%]";;
"kasian user stockbit yang pegang [%iaPO%] [%VIbZ%] [%SKRR%] [%ghjS%] [%EYrJ%] dll
stockbitnya busuk  😆  😆";;
[%ocDY%] [%CiJt%][%VHjX%] payah error, gagal cuan! apa kompensasi ya? taq acak [%DcZH%] [%nBHf%] [%ucwi%] [%wGES%];;
[%xUfZ%] [%xeUa%] [%Rtjk%] _XL woooiiiii , kalo gak niat jd broker , jd pedagang dipasar saja , ada uang ada barang...it server kodian, gak niat jd broker .[%iMRg%].;;
"maintenance sb
gratis biaya 😂🤣
[%LgjE%] [%DJZG%] [%mpER%] [%evrL%] [%zYFc%]";;
"Cengkraman Salim di Finansial.
[%SxaN%] [%TLyg%] [%Rcla%] [%ldmd%]";;
"Saya tadi bisa jual saya jual lgsg pencet sell bukan dari porto tapi lgsg dari emiten nya
Laayak dicoba semoga cuan teman teman
[%qVDO%] [%xoIX%] [%qTyb%] [%pSWu%] [%lsxO%]";;
"Senam jantung pun ditambah biasanya pagi doang sekarang sampe siang wwkwkwk
Gapapa gess biar jantung anda kuat menghadapi serangan jantung lain wkwkwkkw
[%Ktit%] [%lazU%]. [%vKcU%] [%xYtU%] [%meYT%]";;
"Gratiskan setahun dong min [%XFcT%] [%Mstw%] [%IULe%] 🤣
random tag: [%zBRx%] [%UAkq%] [%OmgZ%] [%yAOL%] [%sFYB%]";;
[%FWaX%] [%bjHD%] [%jFFZ%] akhir sesi juga bakalan di tarik toh masih di akum kok ama asing 🤭;;
"COMPOUNDING, KEAJAIBAN DUNIA KE 8 
masih menlanjutkan bahasan soal strategi compounding untuk meningkatkan kekayaan, kalau kemarin saya share yang bombastis banyak yang meragukan, kali ini saya share itungan yang lebih realistis, bagaimana strategi menabung di bursa saham dengan compounding, oke siapkan cemilan dengan baik
dalam kalkulator berikut saya perlihatkan formula menabung 6 juta setahun atau 500 ribu per bulan, dan kita harus konsisten melakukan ini, setelah itu fokus ke target growth atau gain sebesar 15% selama setahun, DAN TIDAK MENGAMBIL CUAN yang diperoleh, maka jika kita lakukan ini konsisten dalam tahun ke 24 memungkinkan sekali untuk bisa mencapai angka 1 M itu, inilah keajabiban compounding, sekarang kita bandingkan jika kita hanya menabung 500ribu sebulan dan rutin selama setahun, dan tanpa asumsi bunga, dan tanpa ditarik, tanpa biaya bulanan, maka ditahun ke 24 kita hanya akan mendapatkan nominal Rp 144 Juta rupiah saja, ya jangan tanpa bunga bunga tho mas, oke pakai bunga 5 % aja deh, dalam 24 tahun angka yang didapat Rp 280 juta, ini pun dengan asumsi memang tabuingan nggak pernah dimabil sama sekali lho ya, cukup besar sih, tapi ingat ada inflasi lho ya perhatikan itu juga
Pada prinsipnya compounding itu bisa dilakukan pada produk finansial apapun, di kalkulator yang saya share ini pun bisa dipakai juga, tinggal gonta ganti angka return yang didapat dan iuran bulanan, syaratnya gain atau return jangan ditarik, dan diputer terus, jadi jangan melulu terjebak pada saham ya, atau terjebak ingin menarik hasilnya, compounding ini memang untuk menikmati hari tua, dan ibarat lari marathon pace mesti dijaga yang penting sampai tujuan
Oke sekarang kembali pada pertanyaan kenapa 15 % karena memang ini angka target yang ideal dicapai di bursa saham, instrumen lain berat kalau ngejar return segitu, kalau ada tabungan yang resmi yang ngasih 15 % setahun mending all in disitu, tapi kan ya jarang kalau nggak bileh dibilang nggak ada
terus kalau masih ada yang meragukan capai 15% setahun dibursa saham itu impossible mending balik ke academy atau latih skill lewat workshop workshop itu deh,  oh tenang saya nggak jualan workshop, pengalaman adalah guru terbaik he..he..
so yang mau ambil akses kalkulator compounding langsung aja cek kolom komentar ya, yang mau diskusi juga boleh
tag : [%lrLg%] [%LTey%] [%cLJO%] [%nkrE%]";;
"wkwkwk stock bit mah ga cocok utk trading, apalagi beli gorengan, buat screaning ama sosmed aja
[%oJLC%] [%ZjXW%] [%CBBl%] [%GvRe%] [%FpQN%]";;
"Yuk kompak yuk buat petisi ritel kepada stockbit yang error mulu
Monggo buat grup telegram lgsg kasi link di komen ini aku gas join!!! 
Random tag [%ONJI%] [%oUJV%] [%MboD%] [%TMXH%] [%QBlp%]";;
"[%Cxhu%] semua rakyat [%ysBS%] akan hijraaah ke skuritas lain (IPOT, BEST BCA, HOTS Mirae, Etc)
 [%LlbA%] [%NuzG%] [%WYiL%] [%wkkG%]";;
"[%Kjus%] 
Ya biar ada gregetnya maintenance di jam bursa.
Ijin tag biar rame
[%GiOy%] [%fEvw%] [%fAnH%] [%kJqH%] [%fZtr%]";;
"update terkini guys, gangguan di pihak ke 3 katanya.. tp ditanya detail belum jawab.. SB akan kasih kompensasi gratis biaya broker dari tanggal 10-19 Agustus 2022.
[%vCTQ%] [%fpOM%] [%shWl%] [%kGNU%] [%oYTi%]";;
🙂 [%LMFx%] [%Ftwj%] [%ezBF%];;
[%efkj%] GREGET LIAT STOCKBIT INIIII, MW TAKE PROFIT BBCA TAPI GAK BISA GEGARA APLIKASI STOKBIT MAINTANANCE TERUS. GRRRRR;;
[%XuyA%][%jUml%][%RRZP%][%VieK%][%DhmY%] apansii awal maintenance smpe jam 9 naik jam 10:30 naik jam 11:00 skrg jam 1  ga jelas;;
[%LrGU%] tarik semua pindah sebelah aja;;
[%ltqs%] beli?;;
"FATAL
Niatnya hari ini mau WD, kebetulan 2 hari yll semua porto sudah saya jual karena ada keperluan mendesak dgn kondisi profit. Tapi apa daya SB mendadak erorr. Akhirnya ngambil dari dana darurat. Saya masih untung ada dana darurat, bayangkan jika orang lain yg semua uangnya di taruh disini, dan tiba tiba ada keperluan mendesak/sangat penting.
Kepada pihak [%CrND%] harap hal hal semacam ini segera diperbaiki. Kalo tidak, bisa menurunkan kepercayaan para investor 
[%UFFE%] [%WQcn%]";;
"[%qerI%] Perasaan tadi masih 4.0 
[%tkMN%] [%tlEu%] [%ElSc%] [%zSDW%]";;
[%SmbC%] tolong lah lg jam bursa ga bisa diakses. bagaimana coba [%Enxc%] [%wfHi%] [%UQko%];;
"Ayo kita ramaikan di Twitter, TikTok dll #stopbitch
Sudah parah nih, maintenance kaga beres beres [%MkXN%] [%hxSh%] [%dibe%] [%jeqt%] [%mZbR%]";;
[%xnYX%] [%alBx%] gila... maintenance di jam bursa dari jam 9 ke jam 10.. ini udah jam 10 diperpanjang sampe jam 11... diperpanjang lagi sampe jam 13.00  [%CcWg%] [%pClM%];;
"sekalian aja sampe tutup bursa🤡

[%iSRJ%] [%eHcp%] [%VItO%]";;
[%hWKI%] waah giliran lg turun malah mainntenis;;
"FIX sesi 1 ini gabisa trading pake SB

gws untuk sekuritas 🙏

[%ZIkM%] [%oWth%] [%eZFe%] [%aSer%] [%XBKl%]";;
"Buat yg blm bs akses trading coba switch ke virtual trading, niscaya bisa

[%RFwV%] [%eoKt%] [%HkNG%] [%Mefw%] [%aZNE%]";;
[%WZHp%] lagi error;;
Sekuritas itu ada biar bisa jual beli saham di pasar, ketika error terus di jam bursa, lebih baik Lego wo untuk.... [%Ehva%] [%mTdL%];;
"Ini Bluechip pada turun semua efek besok pengumuman kembali inflasi amerika !
[%BqTV%] [%kAzL%] [%Txnz%] [%aBrY%]";;
[%Ojiu%] [%CgXf%] [%hTWB%] [%DcBF%] [%TSmV%] SB mintenance sampe jam 10, udah jam 10 sampe jam 11, nanti jam 12, 13, 14, 15, 16, dst.. ini hardware server mereka harus d upgrade kayanya, biar g maintenance mulu.. or divisi IT nya d rombak aja kalo kinerjanya kurang, cari yg lbh professional..;;
"[%TpLR%] apakah sekuritas error di jam bursa disengaja hari ini? Supaya bandar bisa jualan sampai skrg IHSG sudah - 1%... 

Menurut info teman2 investor Ajaib &amp; Stockbit eror... 

[%JBkV%] [%zqGs%] [%CCNP%] [%OlCm%]";;
"gangguan apakah ini... kok ajaib ikut gangguan juga yah..... 😤

[%LPvO%] [%Utmn%] [%KRSW%] [%gHvE%] [%yTOB%]";;
[%uKrt%] SB Ajaib down, IHSG anjlok tapi cuma bisa dipelototin doang 😌;;
"SB + Ajaib Down.... 
mo kemana lagi hari ini? 
[%ypeG%] [%IwaP%] [%TxLF%]";;
"takut nya di bawa lari dana kita 
hahahha

[%nyiF%] [%ZdEa%] [%RNgb%]";;
[%qIJL%][%nPbc%][%Smrp%][%jSNV%];;
"Hari perdagangan
Normal: Setiap hari selain hari libur
Stockbit: Setiap hari selain hari libur + kalau pas lagi ga error 😆 

[%PGsb%] [%opvp%] [%TSyX%] [%dyeu%]";;
"[%pApd%] [%cUJR%] [%TJde%] [%ekpV%]
SROCKBIT Parah Sekali. Maintenance Disaat Pasar Buka. Kami Kecewa. Ngga Sekalian Hari Ini Libur.";;
[%txEc%] [%kpVm%] Ga sekalian MTnya perpanjang sampe jam 3sore? Atau ga tutup sekuritas aja;;
"waduh sampe jam 11
apakah akan kembali berfungsi atau mundur lagi maintenannya? 

[%iXZJ%] [%uSfs%] [%roQq%] [%yIpE%] [%bYjk%]";;
 Indeks Bisnis-27 membuka perdagangan dengan melemah pada hari ini, Rabu (10/8/2022), beriringan dengan melemahnya Indeks Harga Saham Gabungan (IHSG) pagi ini yang bertepatan 45 tahun dibuka kembali Bursa Efek Indonesia. Berdasarkan data Bursa Efek Indonesia pukul 09.05 WIB., indeks hasil kerja sam...;;
Penyelenggara SB bisa kena tuntut gak sih kalau kek gini? Berapa user yg rugi gegara MT di jam2 bursa?  Gak ada pemberitahuan atau apa gitu ke user2 nya? Diem bae 😡 [%PxAK%] [%klsu%] [%onsX%] [%LzeZ%];;
[%EBPc%] stockbit maintain ampe 11.00. ini gimana????;;
[%UCyj%] stockbit bgst;;
"ada yang pakai mirrae gak ? lancar atau sama seperti SB ? 
[%NiHa%][%Yzrj%][%EOrX%][%SNoE%]";;
[%zOzC%] rencana mau jual buat nyerok bbca malah amblas😂😂;;
"gak heran yaa kenapa akhirnya sinarmas milih buat misah dan bagusin SIM dari pada terus kerja sama dengan stockbit. 
. 
jujur ya saya korban stockbit juga ni gara"" putus kerja sama , dana saya jadi otomatis ke SIM. 
. 
awal pake SIM sii bnr"" pesimis karna jelek tampilannya dan masih lemot. 
. 
tapi skrg sii bagus luh SIM. 
eh stockbit nya masih belum tobat juga ternyata. 
. 
emang sii OLT retail tapi ya gak gini juga lah.

[%VdkI%] [%blLM%] [%RHPo%]";;
[%yTyz%] melangar hukum ngak kalo sperti ini ? Uang nasabah byk yg rugi krn g bs trade. [%ZGsu%] [%YrQt%] [%FrLI%] [%MQro%] [%YiLy%];;
"[Nasihat Peter Lynch Untuk Take Profit]
 
Untuk para investor yang mungkin sedang senang karena sudah floating profit dalam portonya saya ucapkan selamat karena sudah bersabar menunggu dan setidaknya belajar untuk menganalisa. 
PR selanjutnya investor setelah menganalisa dan menunggu kinerja bisnisnya membaik kemudian diapresiasi oleh pasar adalah kapan harus merealisasikan keuntungan? Apakah cukup 1x bagger, 2x atau seperti apa.
Daripada kita tidak memiliki standar baku apapun lebih baik kita bisa belajar nasihat dari Peter Lynch tentang mengambil keuntungan dari saham kita.
 
Suatu ketika Forbes mewawancara Peter Lynch tentang kesalahan yang pernah dilakukanya.
“Kesalahan terbesar saya adalah menjual saham pemenang terlalu cepat”.kutipnya.
Ternyata saham pemenang yang pernah dipegang Peter Lynch tersebut adalah saham Home Depot &amp; Dunkin’ Donuts yang jika saja ia hold lebih lama maka ia bisa memperoleh keuntungan lebih dari 50x lipat.
 
Nah belajar yaa dari kesalahan suhu ini. Jangan sampai lagi ada kata-kata keluar dari mulut investor “ko dibeli turun, dijual terbang”.
 
Semoga Bermanfaat
[%nFaA%] [%tzIA%] [%PEio%] [%JgZv%] [%ZJut%]";;
EH SORRY TYPOI [%PuQZ%];;
"[%CRox%] Saya bukan orang yang paham ilmu fundamental dan lainnya.
Yang saya pahami, beli saham kalau sudah di titik supportnya dan hold.
Hanya bermodalkan pantau support dan hold.
Fyi saya mulai trade di feb 2020.
Awal trade iseng2 karena muterin profit dari crypto dan pindah ke stockbit awal tahun 2022.
Mungkin bagi kalian angka ini kecil.
Bagi saya ini angka terbesar yang pernah saya dapatkan selama hidup saya di usia saya yang 28 tahun 😭😭.
Ga nyangka banget bisa tembus segini.
😭😭😭😭😭😭
Saya tulis di sini hanya untuk meninggalkan rekam jejak pencapaian saja.
Tidak ada maksud tertentu 
Tq [%LPgz%] [%EEDC%] [%Epyo%]";;
Perbankan semakin berlomba memperbarui layanan mobile banking demi menangkap peluang tren perpindahan gaya bertransaksi nasabah dari konvensional ke digital. Kini, layanan BCA Mobile milik PT Bank Central Asia Tbk muncul sebagai bank dengan transaksi mobile banking terbesar di Indonesia.  Layanan BC...;;
"""pak..kok dari dulu sharingnya rugi mulu, kenapa sih ?""
""bang...itu rugi mulu kok gak bangkrut-bangkrut ?""
 hahahaha lucu pertanyaannya..
sengaja sharing kisah rugi supaya memberi inspirasi. saya merasa sudah banyak sekali yang sharing dan flexing-flexing soal keuntungan fantastis di bursa. 
saya tidak selalu rugi dan kalau untung saya rasa cukup saya saja yang merasakan. karena jurus rahasia saya adalah ""rahasia""
hahahaha...
saya juga belajar ilmu untung dari saham itu seperti menerjemahkan bahasa tersirat dari sebuah data ekonomi dan finansial. belajar sana-sini yang butuh waktu tidak sebentar. 
saya senang sekali dengan pepatah dari film rocky.
di film itu rocky balboa berkata kepada anaknya intinya 
adalah ""seberapa kuat dirimu adalah tentang saat kamu dipukul jatuh terkapar dan kamu mampu bangkit dan terus melanjutkan lagi kedepannya.
seberapa banyak kamu bisa menanggungnya dan terus melangkahkan diri untuk maju. itulah pemenang yang sebenarnya ""
Jadiilah pemenang dengan menemukan jurus anda sendiri dan nikmatilah sendiri. karena tujuan kita berinvestasi di bursa adalah mengalahkan pasar . 
untuk menjadi golongan 1% itu anda perlu mengalahkan 99% lainnya. karena itu pelajarilah kenapa 99% itu kenapa bisa menjadi gagal dan anda akan jadi pemenang.
Ingatlah uang untung anda adalah hasil anda memukul mundur lawan anda yang mundur dari sebuah emitten dan begitu pula sebaliknya. 
kalangan sukses di bursa itu adalah kalangan ""Elit"". anda harus bertarung untuk sampai ke sana dengan beragam cara dan pola pikir. 
Sabar, nyali, bijak, kemampuan ngolah data, prediksi, insider, dan beragam modal diperlukan untuk menjadi pemenang  
Semoga saja bermanfaat.
[%iLuM%]
[%DsGV%]
[%HKlH%]
[%Lpmg%]
[%MCIL%]";;
"[%WKWc%] akankah mampu melewati trendline dan menutup gap besok?
skenario terbaik bila trendline dilewati tanpa ada loncatan harga serta menutup lubang dengan sempurna melanjutkan kenaikannya menuju 7200-7250.
jikapun harus koreksi sehat setidaknya menguji 3 moving average yang telah crossover. 
goodluck ihsg cukup sehat ditengah penurunan bursa global kemarin waktu. siapkan amunisi baik on breakout maupun on weakness. 
[%wvwF%] [%YphZ%] [%vsvM%] [%iwvm%]";;
[%APKF%] kalau [%xPvw%] valuasinya gimana bro? 😬;;
"Quotes sukses investasi dari John C. Bogle founder dari Vanguard Group
[%xCvr%]
Random Tags
[%qXJN%] [%DWSt%] [%Dfac%] [%UZTE%] [%SMja%]";;
Candle [%yzzN%] kyak jarum pentul. Para bigfund bareng2 haki di sesi closing..tapi mungkin malah asing yg makan barang2 mereka?? Lets see [%ZGHz%] [%PBgZ%] [%YaBo%] [%zhQY%];;
"[%Njnm%] itu movement nya ibarat pepatah ""alon alon asal klakon"", tidak ara namun melangkah dengan pasti naik 1 demi 1 level";;
"PENGEN LIHAT [%hJEp%] ARB berhari Hari 
supaya bisa serok";;
Ayok [%iNyv%] Masak Kalah Sama [%rDRt%]  🤣🤣🤣;;
Menurut saya selagi bank2 besar seperti [%GWAH%] [%jdLd%] [%HiOK%] [%lMcw%] gak bangkrut pasti bisa karna jika bangkrut bukan hanya saham ekomoni akan bangkrut juga 😅;;
"[%FZzH%] [%CwLJ%] [%jFzx%] [%afvk%]
Saldo kosong langsung dihubungi, biasanya tiap minggu deposit 🤣🤣 
Kok kayak parno ya bank2 digital, 10 tahun lebih punya rekening BCA saldo dibawah 10k biasa aja 😁";;
[%TBAs%] saham.tuh bikin gemes. pas di sell malah merangkak naik. pas di hold eh malah turun.Ampuun deh;;
"🛑 Analisis [%hDqH%] (Wismilak Inti Makmur)
Kenaikkan WIIM hari ini berpotensi untuk mengkonfirmasi pattern inverted head n shoulders-nya apabila bisa breakout area resistance ini. Namun kita harus melihat juga breakout-nya apakah dengan volume atau tidak, karena breakout yang berpotensi bagus adalah breakout dengan volume.
[%XtaL%]
[%gCgG%] [%dzZw%] [%EREr%] [%MJSB%]";;
dimulai dare hal2 nyang kayak genih. tao2 lenyap tak berbekas ditelen [%TQjo%]. ilang dari jagad setockbit. hare genih mo kaya kok beli [%mqxE%] [%vXbO%]. ntuh nurun songongnyah dari HOMOsapiens. obelix bin ikanputin. oracle 25jutah rupiah 🙊🏋️🤺;;
